Destination,Value,Fiscal Year
Outer Planets Program,,2000
Pioneer Venus,,2000
Small Bodies,154.6,2000
The Moon,0,2000
Venus,,2000
Mars,686.2,2001
Venus (nominal $),,2001
Mars (nominal $),447.6,2001
Mars Data Analysis,,2001
Mars Exploration Program,447.6,2001
Mercury,15.3,2001
Outer Planets,245.9,2001
Outer Planets Program,87.3,2001
Pioneer Venus,,2001
Small Bodies,239.1,2001
The Moon,0,2001
Venus,,2001
Mars,681.7,2002
Venus (nominal $),,2002
Mars (nominal $),456.9,2002
Mars Data Analysis,,2002
Mars Exploration Program,456.9,2002
Mercury,79.4,2002
Outer Planets,159.2,2002
Outer Planets Program,24.1,2002
Pioneer Venus,,2002
Small Bodies,254.4,2002
The Moon,0,2002
Venus,,2002
Mars,730.6,2003
Venus (nominal $),,2003
Mars (nominal $),500.4,2003
Mars Data Analysis,,2003
Mars Exploration Program,500.4,2003
Mercury,145.3,2003
Outer Planets,155.5,2003
Outer Planets Program,15,2003
Pioneer Venus,,2003
Small Bodies,363.5,2003
The Moon,0,2003
Venus,,2003
Mars,841.4,2004
Venus (nominal $),,2004
Mars (nominal $),596.3,2004
Mars Data Analysis,,2004
Mars Exploration Program,596.3,2004
Mercury,126.6,2004
Outer Planets,117.4,2004
Outer Planets Program,,2004
Pioneer Venus,,2004
Small Bodies,410.9,2004
The Moon,0,2004
Venus,,2004
Mars,805.7,2005
Venus (nominal $),,2005
Mars (nominal $),588.5,2005
Mars Data Analysis,,2005
Mars Exploration Program,588.5,2005
Mercury,59.7,2005
Outer Planets,114.6,2005
Outer Planets Program,,2005
Pioneer Venus,,2005
Small Bodies,433.8,2005
The Moon,0,2005
Venus,,2005
Mars,878.7,2006
Venus (nominal $),,2006
Mars (nominal $),662.2,2006
Mars Data Analysis,,2006
Mars Exploration Program,662.2,2006
Mercury,10.5,2006
Outer Planets,161.4,2006
Outer Planets Program,,2006
Pioneer Venus,,2006
Small Bodies,201.3,2006
The Moon,0,2006
Venus,,2006
Mars,811.4,2007
Venus (nominal $),,2007
Mars (nominal $),634.9,2007
Mars Data Analysis,,2007
Mars Exploration Program,634.9,2007
